;Coal and peat;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Oil;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;139,18
;;;2012;139,18
;;;2013;139,18
;;;2014;139,18
;;;2015;139,18
;;;2016;139,18
;;;2017;139,18
;;;2018;139,18
;;;2019;139,18
;;;2020;139,18
;Natural gas;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;40,00
;;;2020;40,00
;Nuclear;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Fossil fuels n.e.s.;Off-grid;2011;91,73
;;;2012;96,73
;;;2013;97,48
;;;2014;97,48
;;;2015;97,48
;;;2016;97,48
;;;2017;97,48
;;;2018;97,48
;;;2019;97,48
;;;2020;97,48
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Other non-renewable energy;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
Albania;On-grid Solar photovoltaic;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;0,56
;;;2012;0,68
;;;2013;0,76
;;;2014;0,87
;;;2015;1,05
;;;2016;1,00
;;;2017;1,00
;;;2018;1,00
;;;2019;14,00
;;;2020;16,85
;Off-grid Solar photovoltaic;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Concentrated solar power;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Onshore wind energy;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Offshore wind energy;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Renewable hydropower;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;1508,00
;;;2012;1628,00
;;;2013;1781,00
;;;2014;1725,00
;;;2015;1798,00
;;;2016;1913,00
;;;2017;2047,00
;;;2018;2105,00
;;;2019;2162,00
;;;2020;2289,00
;Mixed Hydro Plants;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Pumped storage;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Solid biofuels;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Renewable municipal waste;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;1,43
;;;2018;1,43
;;;2019;1,43
;;;2020;1,43
;Liquid biofuels;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Biogas;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Geothermal energy;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Marine energy;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Fossil fuels;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;97,00
;;;2013;98,00
;;;2014;98,00
;;;2015;98,00
;;;2016;98,00
;;;2017;98,00
;;;2018;98,00
;;;2019;98,00
;;;2020;98,00
;Coal and peat;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Oil;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;97,00
;;;2013;98,00
;;;2014;98,00
;;;2015;98,00
;;;2016;98,00
;;;2017;98,00
;;;2018;98,00
;;;2019;98,00
;;;2020;98,00
;Natural gas;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Nuclear;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Fossil fuels n.e.s.;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;Other non-renewable energy;Off-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;..
;;;2018;..
;;;2019;..
;;;2020;..
;;On-grid;2011;..
;;;2012;..
;;;2013;..
;;;2014;..
;;;2015;..
;;;2016;..
;;;2017;1,43
;;;2018;1,43
;;;2019;1,43
;;;2020;1,43
Algeria;On-grid Solar photovoltaic;Off-grid;2011;..
;;;2012;..
